color,constituency,groups,id,party,partywon,pcid,states,vote_count_num,votecount,winner,winner_2014_bangali
#aaa8a8,Amravati,Others,12,Independent,12,#PC230,Maharashtra,510947,Won,Navnit Ravi Rana,Adsul Anandrao Vithoba (SHS)
#6ab86b,Aurangabad,Others,3,All India Majlis-E-Ittehadul Muslimeen,3,#PC242,Maharashtra,389042,Won,Imtiaz Jaleel Syed,Chandrakant Bhaurao Khaire (SHS)
#3971b7,Baramati,UPA,24,Nationalist Congress Party,24,#PC258,Maharashtra,686714,Won,Supriya Sule,Supriya Sule (NCP)
#f49921,Beed,NDA,8,Bharatiya Janata Party,8,#PC262,Maharashtra,678175,Won,Dr. Pritam Gopinath Munde,Munde Gopinathrao Pandurang (BJP)
#f49921,Bhandara-Gondiya,NDA,8,Bharatiya Janata Party,8,#PC234,Maharashtra,650243,Won,Shri Sunil Baburao Mendhe,Nanabhau Falgunrao Patole (BJP)
#f49921,Bhiwandi,NDA,8,Bharatiya Janata Party,8,#PC246,Maharashtra,523583,Won,Shri Kapil Moreshwar Patil,Kapil Moreshwar Patil (BJP)
#ec653a,Buldhana,NDA,30,Shivsena,30,#PC228,Maharashtra,521977,Won,Jadhav Prataprao Ganpatrao,Jadhav Prataprao Ganpatrao (SHS)
#4099CF,Chandrapur,UPA,13,Indian National Congress,13,#PC236,Maharashtra,559507,Won,Balubhau alias Suresh Narayan Dhanorkar,Ahir Hansraj Gangaram (BJP)
#f49921,Dhule,NDA,8,Bharatiya Janata Party,8,#PC225,Maharashtra,613533,Won,Dr. Subhash Ramrao Bhamre,Dr. Bhamre Subhash Ramrao (BJP)
#f49921,Dindori,NDA,8,Bharatiya Janata Party,8,#PC243,Maharashtra,567470,Won,Dr. Bharati Pawar,Chavan Harishchandra Deoram (BJP)
#4099CF,Gadchiroli-Chimur,UPA,13,Indian National Congress,13,#PC235,Maharashtra,442442,Won,Dr. Namdev Dalluji Usendi,Ashok Mahadeorao Nete (BJP)
#ec653a,Hatkanangle,NDA,30,Shivsena,30,#PC271,Maharashtra,585776,Won,Dhairyasheel Mane,Raju Shetty (SWP)
#ec653a,Hingoli,NDA,30,Shivsena,30,#PC238,Maharashtra,586312,Won,Hemant Sriram Patil,Rajeev Shankarrao Satav (INC)
#f49921,Jalgaon,NDA,8,Bharatiya Janata Party,8,#PC226,Maharashtra,713874,Won,Unmesh Bhaiyyasaheb Patil,A.T. Nana Patil (BJP)
#f49921,Jalna,NDA,8,Bharatiya Janata Party,8,#PC241,Maharashtra,698019,Won,Shri Raosaheb Patil Danve,Danve Raosaheb Dadarao (BJP)
#ec653a,Kalyan,NDA,30,Shivsena,30,#PC247,Maharashtra,559723,Won,Shrikant Shinde,Dr.Shrikant Eknath Shinde (SHS)
#ec653a,Kolhapur,NDA,30,Shivsena,30,#PC270,Maharashtra,749085,Won,Sanjay Mandlik,Dhananjay Bhimrao Mahadik (NCP)
#f49921,Inner Manipur,NDA,8,Bharatiya Janata Party,8,#PC272,Manipur,263632,Won,Dr Rajkumar Ranjan Singh,Dr. Thokchom Meinya (INC)
#45266b,Outer Manipur,Others,22,Naga Peoples Front,22,#PC273,Manipur,363527,Won,Lorho S. Pfoze,Thangso Baite (INC)
#4099CF,Shillong,UPA,13,Indian National Congress,13,#PC274,Meghalaya,419689,Won,Vincent H Pala,Vincent H. Pala (INC)
#92c02a,Tura,NDA,23,National Peoples Party,23,#PC275,Meghalaya,304455,Won,AGATHA K. SANGMA,Purno Agitok Sangma (NPEP)
#98C6CA,Mizoram,Others,60,Mizo National Front,60,#PC276,Mizoram,224286,Won,C Lalrosanga,C. L. Ruala (INC)
#98C6CA,Nagaland,Others,62,Nationalist Democratic Progressive Party,62,#PC277,Nagaland,500510,Won,Tokheho Yepthomi,Neiphiu Rio (NPF)
#6e8d92,Aska,Others,9,Biju Janata Dal,9,#PC296,Odisha,195856,Leading,Pramila Bisoi,Ladu Kishore Swain (BJD)
#f49921,Balasore,NDA,8,Bharatiya Janata Party,8,#PC283,Odisha,21005,Leading,Shri Pratap Sarangi,Rabindra Kumar Jena (BJD)
#f49921,Bargarh,NDA,8,Bharatiya Janata Party,8,#PC278,Odisha,47539,Leading,Shri Suresh Pujari,Prabhas Kumar Singh (BJD)
#6e8d92,Berhampur,Others,9,Biju Janata Dal,9,#PC297,Odisha,3740,Leading,CHANDRA SEKHAR SAHU,Sidhant Mohapatra (BJD)
